fecha,close,sma20,sma50
2009-02-09,30.9,,
2009-02-10,30.0,,
2009-02-11,30.0,,
2009-02-12,30.0,,
2009-02-13,30.48,,
2009-02-17,29.34,,
2009-02-18,29.4,,
2009-02-19,29.64,,
2009-02-20,28.2,,
2009-02-23,28.0,,
2009-02-26,28.26,,
2009-02-27,28.26,,
2009-03-02,28.26,,
2009-03-03,28.26,,
2009-03-04,28.68,,
2009-03-05,28.68,,
2009-03-06,28.68,,
2009-03-09,28.68,,
2009-03-10,29.36,,
2009-03-11,29.36,29.122000000000003,
2009-03-12,29.36,29.044999999999998,
2009-03-13,30.14,29.052000000000003,
2009-03-16,30.86,29.095,
2009-03-17,31.56,29.173000000000002,
2009-03-18,31.54,29.226,
2009-03-19,32.26,29.371999999999996,
2009-03-20,32.42,29.523000000000003,
2009-03-24,32.4,29.661,
2009-03-25,32.26,29.863999999999997,
2009-03-26,31.98,30.063,
2009-03-27,30.8,30.189999999999998,
2009-03-30,30.059999,30.27999995,
2009-03-31,30.2,30.37699995,
2009-04-01,30.4,30.483999949999998,
2009-04-02,31.42,30.620999950000005,
2009-04-03,31.6,30.766999950000002,
2009-04-06,31.56,30.91099995,
2009-04-07,32.0,31.076999949999998,
2009-04-08,32.54,31.235999949999997,
2009-04-13,32.52,31.39399995,
2009-04-14,32.52,31.551999950000003,
2009-04-15,32.74,31.681999949999998,
2009-04-16,33.099998,31.79399985,
2009-04-17,32.7,31.85099985,
2009-04-20,32.64,31.90599985,
2009-04-21,32.68,31.926999850000005,
2009-04-22,32.42,31.926999849999998,
2009-04-23,34.02,32.00799985,
2009-04-24,34.0,32.09499985,
2009-04-27,34.54,32.222999849999994,30.83359994
2009-04-28,34.3,32.397999850000005,30.901599939999997
2009-04-29,34.9,32.6399999,30.99959994
2009-04-30,35.88,32.9239999,31.11719994
2009-05-04,36.099998,33.2089998,31.2391999
2009-05-05,36.84,33.4799998,31.366399899999998
2009-05-06,37.32,33.765999799999996,31.525999900000002
2009-05-07,38.0,34.0879998,31.697999900000003
2009-05-08,39.0,34.4379998,31.885199900000003
2009-05-11,38.2,34.7209998,32.0851999
2009-05-12,39.099998,35.0499997,32.30719986
2009-05-13,38.02,35.3249997,32.50239986
2009-05-14,38.28,35.6019997,32.70279986
2009-05-15,38.86,35.889999800000005,32.914799859999995
2009-05-18,38.6,36.1849998,33.12159986
2009-05-19,39.34,36.5199998,33.33479986
2009-05-20,40.96,36.933999799999995,33.58039986
2009-05-21,40.22,37.3239998,33.81119986
2009-05-22,40.0,37.6229998,34.03759986
2009-05-26,40.58,37.951999799999996,34.26199986
2009-05-27,40.0,38.2249998,34.47479986
2009-05-28,41.0,38.5599998,34.70759986
2009-05-29,41.82,38.905999800000004,34.941199860000005
2009-06-01,42.8,39.2519998,35.17999986
2009-06-02,44.099998,39.6519998,35.430799820000004
2009-06-05,44.72,40.0459998,35.69439982
2009-06-08,43.8,40.3699998,35.925199819999996
2009-06-09,44.74,40.7069998,36.171599820000004
2009-06-10,44.9,41.0019998,36.421599820000004
2009-06-11,45.66,41.3749998,36.68959982
