fecha,inflacion_mensual,inflacion_anual,fuente_mensual,fuente_anual,fuente_oficial_ultimo_mes,fuente_historia_mensual,fecha_publicacion_vintage
2007-10-01,0.01,5.16,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2007-11-01,0.47,5.43,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2007-12-01,0.49,5.69,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2008-01-01,1.06,6.0,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2008-02-01,1.51,6.35,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2008-03-01,0.81,5.93,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2008-04-01,0.71,5.73,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2008-05-01,0.93,6.39,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2008-06-01,0.86,7.19,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2008-07-01,0.48,7.52,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2008-08-01,0.19,7.87,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2008-09-01,-0.19,7.57,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2008-10-01,0.35,7.94,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2008-11-01,0.28,7.72,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2008-12-01,0.44,7.68,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2009-01-01,0.59,7.17,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
