fecha,canasta_tickers,pares_precio_validos,retornos_atipicos,cobertura_canasta,retorno_equiponderado_pct,lideres_tickers,lideres_pares_validos,lideres_atipicos,cobertura_lideres,retorno_lideres_pct,estado,metodologia
2013-05-01,18,16,0,0.8889,1.106104,6,6,0,1.0,-1.49221,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2013-06-01,18,16,0,0.8889,-2.97028,6,6,0,1.0,-3.45663,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2013-07-01,18,16,0,0.8889,2.695503,6,6,0,1.0,4.671434,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2013-08-01,18,17,0,0.9444,4.004329,6,6,0,1.0,4.469929,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2013-09-01,18,17,0,0.9444,-0.07886,6,6,0,1.0,1.371884,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2013-10-01,18,17,0,0.9444,0.67694,6,6,0,1.0,-1.738953,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2013-11-01,18,17,0,0.9444,-5.251708,6,6,0,1.0,-7.039196,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2013-12-01,18,17,0,0.9444,-0.022897,6,6,0,1.0,-1.205516,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2014-01-01,18,17,0,0.9444,-9.063043,6,6,0,1.0,-9.28325,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2014-02-01,18,18,0,1.0,2.929195,6,6,0,1.0,4.483359,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2014-03-01,18,18,0,1.0,10.367009,6,6,0,1.0,11.674907,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2014-04-01,18,18,0,1.0,-0.52185,6,6,0,1.0,-0.713521,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2014-05-01,18,18,0,1.0,0.031362,6,6,0,1.0,-1.374999,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2014-06-01,18,18,0,1.0,3.388467,6,6,0,1.0,2.489907,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2014-07-01,18,18,0,1.0,0.669747,6,6,0,1.0,0.206786,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2014-08-01,18,18,0,1.0,3.803071,7,7,0,1.0,4.7665,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2014-09-01,18,18,0,1.0,-6.163399,7,7,0,1.0,-4.849248,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2014-10-01,18,18,0,1.0,-1.25929,7,7,0,1.0,-1.7994,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2014-11-01,18,18,0,1.0,-5.875147,7,7,0,1.0,-5.736275,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2014-12-01,18,18,0,1.0,-1.310973,7,7,0,1.0,-1.191223,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2015-01-01,18,18,0,1.0,-10.390825,7,7,0,1.0,-7.124651,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2015-02-01,18,18,0,1.0,2.383022,7,7,0,1.0,-1.142271,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2015-03-01,18,18,0,1.0,-5.010621,7,7,0,1.0,-5.52636,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2015-04-01,18,18,0,1.0,8.747138,7,7,0,1.0,7.72093,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2015-05-01,21,21,0,1.0,-3.88227,7,7,0,1.0,-5.544709,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2015-06-01,21,21,0,1.0,-0.884095,7,7,0,1.0,1.168922,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2015-07-01,21,21,0,1.0,-1.473348,7,7,0,1.0,-2.188914,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2015-08-01,21,21,0,1.0,-5.316319,7,7,0,1.0,-4.955962,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2015-09-01,21,21,0,1.0,-2.346383,7,7,0,1.0,-0.303929,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2015-10-01,21,21,0,1.0,-3.077129,7,7,0,1.0,0.697949,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2015-11-01,21,21,0,1.0,-7.349255,7,7,0,1.0,-7.933038,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2015-12-01,21,21,0,1.0,4.642012,7,7,0,1.0,2.577792,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2016-01-01,21,21,0,1.0,-1.463088,7,7,0,1.0,1.109004,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2016-02-01,21,21,0,1.0,10.633085,7,7,0,1.0,5.877116,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2016-03-01,21,21,0,1.0,4.583991,7,7,0,1.0,8.33304,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2016-04-01,21,21,0,1.0,-0.865788,7,7,0,1.0,1.015764,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2016-05-01,22,22,0,1.0,-3.263202,7,7,0,1.0,-4.114936,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2016-06-01,22,22,0,1.0,1.734813,7,7,0,1.0,2.699976,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2016-07-01,22,22,0,1.0,-0.440269,7,7,0,1.0,-0.318732,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2016-08-01,22,22,0,1.0,4.981452,7,7,0,1.0,5.561659,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2016-09-01,22,22,0,1.0,-2.463432,7,7,0,1.0,-3.029785,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2016-10-01,22,22,0,1.0,1.554323,7,7,0,1.0,2.142836,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2016-11-01,22,22,0,1.0,-4.164466,7,7,0,1.0,-5.76387,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2016-12-01,22,22,0,1.0,6.547706,7,7,0,1.0,5.386513,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2017-01-01,22,22,0,1.0,0.486888,7,7,0,1.0,0.619569,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2017-02-01,22,22,0,1.0,-2.393329,7,7,0,1.0,-1.422087,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2017-03-01,22,22,0,1.0,1.817957,7,7,0,1.0,3.803519,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2017-04-01,22,22,0,1.0,0.12576,7,7,0,1.0,0.199187,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2017-05-01,21,21,0,1.0,2.242105,7,7,0,1.0,6.199502,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2017-06-01,21,21,0,1.0,0.715225,7,7,0,1.0,1.451334,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2017-07-01,21,21,0,1.0,2.409301,7,7,0,1.0,2.298657,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2017-08-01,21,21,0,1.0,-0.384664,7,7,0,1.0,-0.470902,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2017-09-01,21,21,0,1.0,-0.118055,7,7,0,1.0,0.563747,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2017-10-01,21,21,0,1.0,-3.25354,7,7,0,1.0,-1.951279,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
